マクドナルドイオンモール札幌苗穂店	(43.0792737, 141.4046478)
らーめん おっぺしゃん北14条光星店	(43.0798417, 141.3616224)
モスバーガー札幌北48条店	(43.1200484, 141.3542092)
ツルハドラッグ北26条店	(43.0969585, 141.3696497)
ツルハドラッグ北10条店	(43.0744389, 141.3615945)
エネオスDr.Drive 札幌大通店	(43.0583786, 141.3406895)
三井のリパークイオン札幌麻生店第1駐車場	(43.1065334, 141.3394524)
デンタルクリニック大通り	(43.0584966, 141.3417517)
五輪橋産科婦人科小児科病院	(42.9986918, 141.3386284)
桑園自動車学校	(43.06936, 141.3330909)
ブタキング	(43.0799779, 141.3918538)
マクドナルド札幌ヨドバシカメラ店	(43.0685057, 141.3473127)
三井のリパーク札幌駅南口	(43.0657259, 141.3496211)
タイムズタイムズステーション札幌駅前	(43.0659355, 141.3469979)
札幌中央郵便局	(43.0694627, 141.3560344)
東1丁目劇場施設	(43.0624738, 141.3581575)
スターバックス札幌グランドホテル店	(43.062957, 141.35112)
札幌北二条中郵便局	(43.0638663, 141.3535211)
北海道庁赤れんが前郵便局	(43.0633145, 141.3500294)
札幌大通公園前郵便局	(43.0609355, 141.3512712)
札幌北一条中郵便局	(43.0610328, 141.3460649)
札幌大通郵便局	(43.0613067, 141.354062)
市立札幌病院	(43.0711065, 141.3344855)
佐藤診療所	(43.0752874, 141.3512078)
時計台記念病院	(43.0632412, 141.3574555)
札幌北一条郵便局	(43.0607955, 141.3409951)
札幌家庭裁判所	(43.0593978, 141.3382877)
札幌市教育文化会館	(43.0595173, 141.3369358)
Times北2西12	(43.0617522, 141.3383774)
北洋銀行本店営業部	(43.0611467, 141.3525784)
北海道銀行本店営業部	(43.059887, 141.351882)
札幌南一条郵便局	(43.0588345, 141.3494594)
コメダ珈琲店大通西6丁目店	(43.0583923, 141.3492148)
タリーズコーヒー札幌STV北2条店	(43.0637867, 141.3542496)
三吉神社	(43.0584322, 141.3452128)
吉野家大通西10丁目店	(43.058228, 141.341559)
萬田記念病院	(43.0587621, 141.357027)
新生銀行札幌フィナンシャルセンター	(43.0591424, 141.3547773)
北海道銀行中央支店	(43.0582553, 141.3545257)
スターバックス札幌南一条店	(43.0591241, 141.3546013)
北陸銀行札幌支店	(43.0583498, 141.3545051)
北海道信用金庫本店営業部	(43.0580796, 141.3531196)
三井住友銀行札幌支店	(43.062255, 141.3512561)
三菱UFJ銀行札幌支店	(43.0612478, 141.3532723)
りそな銀行札幌支店	(43.0617592, 141.3514492)
いとう整形外科病院	(43.0566472, 141.3422944)
北海道銀行南一条支店	(43.0573765, 141.3427715)
北海道銀行札幌駅前支店	(43.0666336, 141.3508853)
北洋銀行札幌駅南口支店	(43.066268, 141.3501514)
札幌方面中央警察署 北一条東交番	(43.0645007, 141.3661793)
札幌方面中央警察署 大通交番	(43.061302, 141.356257)
大原簿記情報専門学校札幌校	(43.0675319, 141.3441754)
大原公務員専門学校	(43.0678988, 141.3440442)
大原医療福祉専門学校	(43.0680438, 141.3439369)
北海道信用金庫札幌駅北口支店	(43.0721131, 141.348935)
モスバーガー北大正門前店	(43.0714754, 141.3494812)
日産レンタカー札幌駅北口	(43.0732297, 141.3522867)
マクドナルド札幌南二条店	(43.0581311, 141.3557555)
マツモトキヨシ札幌狸小路店	(43.0576145, 141.3541287)
びっくりドンキー狸小路店	(43.0572579, 141.3542122)
ロッテリア札幌中央店	(43.0571214, 141.3526664)
三井のリパーク3・5狸パーキング	(43.0560184, 141.3503147)
みちのく銀行札幌支店	(43.0570962, 141.3485096)
札幌南二条郵便局	(43.0569002, 141.3467687)
札幌方面中央警察署 南三条交番	(43.0558954, 141.3482244)
札幌市中央区民センター	(43.0561938, 141.3424813)
札幌南一条中郵便局	(43.0569306, 141.3411297)
北洋銀行札幌西支店	(43.0577714, 141.3409243)
北空知信用金庫札幌支店	(43.0581595, 141.3407701)
なか卯豊水すすきの店	(43.0564495, 141.3565583)
吉田学園医療歯科専門学校	(43.0570846, 141.3575944)
マクドナルド札幌すすきの店	(43.055893, 141.3529609)
モスバーガー札幌四番街店	(43.0565359, 141.3527865)
エネオス南4条西SS	(43.0549482, 141.345798)
北海道美容専門学校	(43.0550939, 141.3427656)
中村記念病院	(43.0564523, 141.3363863)
札幌医科大学附属病院	(43.0551535, 141.3335321)
みずほ銀行札幌支店	(43.0651338, 141.351236)
あおぞら銀行札幌支店	(43.0652649, 141.350393)
札幌北七条郵便局	(43.0687212, 141.3459591)
アポロステーションセルフSS札幌	(43.0656695, 141.359029)
北洋銀行苗穂支店	(43.065816, 141.3633575)
サッポロファクトリー内郵便局	(43.0657103, 141.362865)
永山記念公園前郵便局	(43.065404, 141.3659522)
札幌北二条郵便局	(43.0649434, 141.3581591)
カトリック北一条教会	(43.0643164, 141.3650108)
タイムズサッポロファクトリー第1	(43.0639498, 141.3625563)
タイムズサッポロファクトリー第2	(43.0659182, 141.3634938)
札幌南一条東郵便局	(43.0608533, 141.3645255)
北門信用金庫札幌支店	(43.0596854, 141.3589843)
北海寺	(43.0589994, 141.36238)
創成東病院	(43.0580552, 141.3616777)
札幌南四条郵便局	(43.0571256, 141.3602172)
エネオスDr.Drive南4条SS	(43.0570402, 141.3611407)
札幌厚生病院	(43.0675302, 141.3691925)
高橋歯科医院	(43.0667761, 141.3674116)
北海道銀行創成支店	(43.0663156, 141.36706)
いがらし医院	(43.0658105, 141.3691597)
弘法寺	(43.0663327, 141.3719948)
苗穂駅前郵便局	(43.0674173, 141.3749435)
エネオス水穂ファクトリーSS	(43.063991, 141.3674683)
サッポロビール園	(43.0708941, 141.3688376)
丸紅エネルギービックセルフ東橋	(43.0660828, 141.3788991)
札幌方面中央警察署 豊平橋交番	(43.0560329, 141.3634866)
エネオスDr.Drive 札幌総合卸センターSS	(43.0691023, 141.3604237)
エネオスDr. Drive北8条通店	(43.0715649, 141.3613476)
エネオス北8条SS	(43.0710959, 141.3550433)
エネオスプロムナ―ド513SS	(43.0648976, 141.3351565)
札幌北五条郵便局	(43.0656119, 141.3344712)
いわきり歯科	(43.0647409, 141.3339952)
エネオス桑園SS	(43.0671425, 141.3345663)
札幌循環器病院	(43.0734037, 141.3334157)
札幌桑園駅前郵便局	(43.0730814, 141.3332226)
モスバーガー札幌大通西14丁目店	(43.0578264, 141.3364625)
秋田銀行札幌支店	(43.061036, 141.351688)
すき家札幌駅前通北一条店	(43.06174, 141.352072)
Curry SAVOY札幌駅北口店	(43.0711913, 141.3491966)
アポロステーションセルフ南5条SS	(43.0524928, 141.3426877)
びっくりドンキー石山通り店	(43.0502609, 141.3420445)
南札幌病院	(43.0482401, 141.3483096)
札幌科学技術専門学校	(43.0569832, 141.3309973)
札幌南一条西郵便局	(43.0562028, 141.329673)
大通幼稚園	(43.0578471, 141.3325643)
札幌西岡郵便局	(43.0003695, 141.3829221)
青いそら 流れる雲	(43.0558786, 141.3242929)
ラーメン二郎札幌店	(43.0673625, 141.3438869)
タリーズコーヒー札幌日本生命ビル店	(43.0648388, 141.3504401)
餃子の王将狸小路5丁目店	(43.0569423, 141.3510614)
シアターキノ	(43.056544, 141.348601)
松屋北24条店	(43.0901892, 141.3442517)
森彦	(43.0533116, 141.3186356)
かつ徳豊平店	(43.050284, 141.3725183)
トリトン	(43.0505976, 141.3721401)
アインズ豊平東光店	(43.0463618, 141.3719603)
こめます豊平店	(43.0461864, 141.3717793)
CoCo壱番屋豊平区豊平3条店	(43.0480122, 141.3774508)
張さん酒家	(42.9999476, 141.3278162)
ねっこぼっこのいえ	(43.0372867, 141.3960576)
しののめ幼稚園	(43.0374955, 141.3959995)
ドトールコーヒーショップ札幌狸小路店	(43.057183, 141.3532088)
札幌南郵便局	(42.9888194, 141.3529931)
宮越屋珈琲パリアッチ店	(43.0371632, 141.3248977)
札幌市立中央幼稚園	(43.0625715, 141.3399155)
松屋北44条店	(43.1128712, 141.3439994)
酒とそば まるき	(43.057673, 141.354633)
札幌市中央図書館	(43.0300989, 141.3399803)
咖哩屋 梵	(43.0702155, 141.3146228)
Café 倫敦館	(43.0642238, 141.3395227)
king soup curry	(43.0244224, 141.3677826)
雪印パーラー	(43.0638137, 141.3526602)
ブルーホテル　シュープリーム	(43.0527887, 141.3559334)
ツルハドラッグクレッセ琴似店	(43.0746692, 141.2979497)
札幌南九条郵便局	(43.047537, 141.33116)
札幌南八条郵便局	(43.0506735, 141.3541808)
エネオストップロード南9条SS	(43.0481513, 141.3422733)
エネオスDr.Drive雁来SS	(43.0746424, 141.4017835)
エネオスDr.Driveセルフ雁来インター店	(43.0901017, 141.4154658)
アポロステーションセルフ西線9条SS	(43.0478257, 141.3365149)
アポロステーション円山北町SS	(43.0642892, 141.3150979)
出光275号雁来インターSS	(43.091311, 141.41798)
エネオスEneJet西町	(43.081733, 141.28385)
とんでん宮の森店	(43.0677036, 141.3083339)
曹洞宗玉宝禅寺 豊川稲荷札幌別院	(43.0522498, 141.3537683)
明王寺	(43.091875, 141.4214375)
エネオスDr.Driveチャレンジ手稲インターSS	(43.096322, 141.2599533)
エネオスDr.Driveセルフ手稲店	(43.1257891, 141.2185769)
CoCo壱番屋北海道大学前店	(43.0708052, 141.3480625)
エネオスDr.Drive新川南SS	(43.088039, 141.328549)
ミスタードーナツすすきのショップ	(43.0554947, 141.3547464)
個室 Japanese Dining 灯札幌店	(43.062852, 141.3517652)
本願寺札幌別院	(43.0616058, 141.3270821)
札幌北四条西郵便局	(43.0633195, 141.3266942)
ラ・メゾン・ド・カリークゥー	(43.0587009, 141.353007)
安永歯科	(43.0673817, 141.3256411)
徳生寺	(43.0678495, 141.3255182)
ツルハドラッグ桑園店	(43.0696492, 141.3316891)
山崎耳鼻咽喉科めまいクリニック	(43.0716676, 141.3324787)
北洋銀行桑園支店	(43.0700385, 141.3318882)
桑園病院	(43.072826, 141.3301263)
桑園中央病院	(43.0684818, 141.3303801)
吉田学園くりの木保育園	(43.0715222, 141.3270467)
北海道信用金庫中央市場支店	(43.0715669, 141.3237296)
豊平郵便局	(43.0402556, 141.3886142)
北洋銀行円山公園支店	(43.0557548, 141.3216467)
平等院大慈寺	(43.0570388, 141.3247071)
札幌独立キリスト教会	(43.0566343, 141.3238396)
札幌円山郵便局	(43.0548839, 141.3216188)
ケンタッキーフライドチキン円山店	(43.0554738, 141.3162083)
エネオス新川北SS	(43.091727, 141.319874)
札幌市中央区役所	(43.0553919, 141.3411475)
札幌市役所	(43.0620312, 141.3543859)
札幌大谷第二幼稚園	(43.0574327, 141.3250404)
東本願寺 札幌別院 圓山支院	(43.0576029, 141.324367)
辺見歯科医院	(43.0583593, 141.3245959)
北海道銀行鳥居前支店	(43.0581399, 141.3201149)
渓仁会円山クリニック	(43.0567184, 141.3174805)
札幌北一条西郵便局	(43.0587939, 141.3261255)
札幌心療福祉専門学校	(43.0607399, 141.3259441)
札幌円山幼稚園	(43.0592364, 141.3211862)
ガールズバーlooop	(43.052543, 141.354338)
mon-ichi	(43.0561343, 141.3431567)
北海道信用金庫中央西支店	(43.0628169, 141.3237155)
札幌市中央消防署 桑園出張所	(43.062651, 141.3223795)
コスモ北5条西SS	(43.062552, 141.3213943)
カトリック円山教会	(43.0620984, 141.320667)
回転寿司トリトン円山店	(43.0624125, 141.3204207)
昂希内科クリニック	(43.0607461, 141.3199878)
かねし小児科	(43.0601849, 141.3191352)
見真寺	(43.0621207, 141.3181849)
ミスタードーナツ宮の森ショップ	(43.0617536, 141.3128408)
宮の森ファミリークリニック	(43.062083, 141.3146229)
北洋銀行宮の森支店	(43.0621067, 141.314887)
ヴィクトリアステーション北5条店	(43.0632239, 141.3231701)
サッポロ珈琲館北円山店	(43.0646225, 141.3245593)
密修寺	(43.0659141, 141.324657)
札幌円山整形外科病院	(43.0650199, 141.3146986)
札幌中央市場前郵便局	(43.0699071, 141.3211208)
コスモ石油市場第1	(43.0709445, 141.3197007)
かまだ歯科	(43.074066, 141.329767)
光明寺	(43.0766471, 141.3297201)
すき家札幌屯田店	(43.1352556, 141.3380273)
ラーメンめんぞう屯田店	(43.1378146, 141.3229826)
サツドラ北円山店	(43.0586968, 141.3146452)
ベビーフェイスプラネッツ札幌宮の森店	(43.0595423, 141.3145887)
札幌北三条西郵便局	(43.0600932, 141.3143295)
円照寺	(43.0613395, 141.3129167)
北海道神宮前郵便局	(43.0573479, 141.3115063)
札幌市身体障害者福祉センター	(43.0693652, 141.312169)
寶龍24軒駅前店	(43.0702907, 141.3144112)
信證寺	(43.013567, 141.3477699)
宮の森ミュージアム・ガーデン	(43.057251, 141.3025351)
札幌方面西警察署 円山交番	(43.0593897, 141.3197922)
エネオスDr.Drive西24丁目店	(43.0521353, 141.3215906)
宮の森皮膚科	(43.0619011, 141.3051747)
藤田外科整形外科	(43.062058, 141.3049599)
エネオスDr.Drive宮の森SS	(43.0621598, 141.304775)
ケンタッキーフライドチキン宮の森店	(43.0579675, 141.3021596)
宮の森フランセス教会	(43.0588664, 141.3005091)
札幌市しせいかん保育園	(43.055306, 141.3482487)
エネオスDr.Driveサムシング琴似SS	(43.0652387, 141.3131092)
宮の森保育園	(43.0617572, 141.3090784)
星川動物病院	(43.0614907, 141.3070023)
宮の森中央歯科	(43.0615348, 141.3069085)
札幌時計台雲母保育園	(43.0629209, 141.3534151)
札幌市北消防署 幌北出張所	(43.0785191, 141.3454869)
サツドラ狸小路5丁目店	(43.0568735, 141.3507443)
北海道銀行宮の森パーソナル支店	(43.0628185, 141.30505)
サツドラ宮の森3条店	(43.0665778, 141.3073817)
ココス札幌宮の森店	(43.0591764, 141.299849)
浄国寺	(43.0609538, 141.29556)
宮の森病院	(43.0562611, 141.2920273)
札幌市中央区 豊水まちづくりセンター	(43.0515582, 141.3570334)
すき家札幌石山通南一条店	(43.057065, 141.341157)
札幌市中央消防署 宮の森出張所	(43.056962, 141.3030174)
札幌方面西警察署 宮の森交番	(43.0569242, 141.3033367)
札幌市中央区 宮の森まちづくりセンター	(43.0567994, 141.3031771)
札幌市中央区 円山まちづくりセンター	(43.0578504, 141.322005)
エネオスDr.Drive三角山SS	(43.064594, 141.290375)
宮の森珈琲山の手店	(43.0613978, 141.2950394)
札幌中の島郵便局	(43.0375524, 141.3614501)
三菱東京UFJ銀行ATMコーナー　札幌駅前	(43.063211, 141.350684)
南蛮屋珈琲店	(43.0570666, 141.3321617)
札幌荒井山簡易郵便局	(43.0507477, 141.2983875)
大倉山月見想珈琲店	(43.0474033, 141.2931581)
宮の森幼稚園	(43.0489315, 141.2914509)
札幌明日佳病院	(43.0430315, 141.2933728)
隆光寺	(43.0436569, 141.2984464)
円山西町児童会館	(43.0454583, 141.305802)
セクシーカフェ メイドル	(43.0556356, 141.3551428)
妙覚寺	(43.0453858, 141.3031246)
円山西町簡易郵便局	(43.0437857, 141.3058374)
グループホーム西円山の丘	(43.0433769, 141.3036072)
ケアハウス　カームヒル西円山	(43.0426267, 141.3038236)
西円山敬樹園	(43.0417828, 141.3036315)
札幌西円山病院	(43.0402283, 141.3034923)
円山西町神社	(43.0395438, 141.3063224)
カフェ・エデン	(43.0430011, 141.3104877)
旭山病院	(43.0414066, 141.3120331)
札幌医学技術福祉歯科専門学校	(43.0535593, 141.3414469)
日泰寺	(43.0523691, 141.343115)
エネオス中和本社SS	(43.0542879, 141.3453206)
札幌祖霊神社	(43.0533143, 141.3468846)
札幌市中央区 西創成まちづくりセンター	(43.0534616, 141.3481569)
札幌南五条郵便局	(43.054066, 141.349841)
札幌方面中央警察署 薄野交番	(43.0554887, 141.3540489)
ロッテリア札幌篠路店	(43.1446355, 141.3580002)
ツルハドラッグ篠路店	(43.1446662, 141.357569)
麺や けせらせら	(43.1306681, 141.3550185)
北洋銀行すすきの出張所	(43.0542984, 141.354348)
札幌南三条郵便局	(43.0566094, 141.3535267)
三井のリパークRECOLTE Sapporo駐車場	(43.0553688, 141.3556417)
田畑産婦人科	(43.0552401, 141.3563578)
苫小牧信用金庫札幌支店	(43.0559457, 141.3579235)
新善光寺	(43.0544239, 141.357335)
中央寺	(43.0533006, 141.3563786)
札幌市中央消防署 豊水出張所	(43.0504675, 141.3573184)
新榮寺	(43.0526006, 141.3549896)
吉尾産婦人科	(43.0505955, 141.3550651)
札幌南警察署 中島交番	(43.0485796, 141.3541502)
タイムズすすきの8・4	(43.0513215, 141.3539317)
田村歯科	(43.0515231, 141.3526255)
金森内科	(43.0497619, 141.3528361)
東本願寺 札幌別院	(43.0504786, 141.3473272)
中村歯科医院	(43.0511374, 141.3492925)
札幌大谷幼稚園	(43.0509845, 141.3485097)
ツルハドラッグ南8条店	(43.0490097, 141.349041)
北洋銀行東屯田支店	(43.0489278, 141.3462864)
札幌南八条西郵便局	(43.0501559, 141.3457222)
千葉歯科クリニック	(43.0490629, 141.3458161)
札幌歯科学院専門学校	(43.0501982, 141.3427905)
ごまそば遊鶴南8条店	(43.0498576, 141.3428209)
ガスト札幌石山通店	(43.0496605, 141.34285)
エネオスDr.Drive札幌西線SS	(43.0541568, 141.3350008)
ほしい小児科・整形外科	(43.0539289, 141.332413)
ツルハドラッグ西線店	(43.0536011, 141.3344905)
海鮮市場 北のグルメ亭	(43.0707627, 141.3200049)
佐野内科医院	(43.0524417, 141.3346401)
サンドラッグ南4条店	(43.0536572, 141.3293277)
ヴィクトリアステーション南円山店	(43.053754, 141.3282185)
札幌南六条郵便局	(43.0518664, 141.3389017)
札幌南六条西郵便局	(43.0505885, 141.3254419)
札幌市中央区 大通・西まちづくりセンター	(43.0547084, 141.3352918)
北海道銀行西線支店	(43.0512042, 141.33487)
サツドラ西線店	(43.0503207, 141.3346575)
半田屋西線南七条店	(43.050346, 141.3349729)
中野整形外科医院	(43.0504811, 141.3344627)
わかはま医院	(43.0501083, 141.3315446)
あしたば薬局	(43.0499987, 141.3316178)
中村歯科医院	(43.0489207, 141.3232239)
ふたば動物病院	(43.0490682, 141.3222234)
つぼみ幼稚園	(43.0484328, 141.3216419)
北洋銀行旭ヶ丘支店	(43.0470623, 141.3228812)
ツルハドラッグ旭ヶ丘8条店	(43.0464422, 141.3232617)
おおい動物病院	(43.046672, 141.324318)
札幌市中央区 南円山まちづくりセンター	(43.0469429, 141.3259434)
内山デンタルクリニック	(43.0476064, 141.321449)
札幌双子山郵便局	(43.0431479, 141.3188064)
慈恵会病院	(43.0364071, 141.3229481)
緑丘児童会館	(43.0430117, 141.3224338)
カフェ ヨシミ	(43.0640569, 141.3506762)
札幌つけ麺 風來堂	(43.0433724, 141.3705603)
カフェ 自給自足	(43.1093256, 141.3193533)
緑丘歯科	(43.0436271, 141.3247935)
北海道銀行旭ヶ丘支店	(43.0431529, 141.3250522)
モダ石油旭ヶ丘セルフSS	(43.0421629, 141.3259338)
サツドラ伏見啓明店	(43.0408098, 141.326774)
みたに胃腸内科	(43.0399755, 141.3277689)
伏見啓明整形外科	(43.0397346, 141.328034)
札幌平岸六条郵便局	(43.0253347, 141.3805098)
エネオスオブリステーション月寒東	(43.0193689, 141.4205044)
関井歯科	(43.0475588, 141.3567851)
札幌伏見稲荷神社	(43.0349657, 141.3253697)
エヌ43	(43.0315127, 141.3244775)
ローズガーデンクライスト教会	(43.0305502, 141.3235725)
いのけ医院	(43.0476114, 141.3502544)
そうま歯科クリニック	(43.0475203, 141.3502296)
札幌南警察署 南九条交番	(43.048464, 141.3485154)
札幌中央病院	(43.047538, 141.3433844)
北央信用組合西支店	(43.047494, 141.3395488)
おく医院	(43.0469704, 141.3388401)
旭山公園通地区センター	(43.0471872, 141.3298332)
札幌ルーテル幼稚園	(43.0461392, 141.3248501)
竹田眼科	(43.0457524, 141.323878)
エネオスDr.Drive旭ヶ丘店	(43.0452574, 141.3241239)
札幌南十条郵便局	(43.0469951, 141.3502484)
つぼ八	(43.046224, 141.3465325)
妙心寺	(43.0455302, 141.3455245)
札幌市中央区 曙まちづくりセンター	(43.045394, 141.3440193)
あけぼのアート＆コミュニティセンター	(43.0454547, 141.3447193)
あけぼの保育園	(43.0456057, 141.3437511)
山鼻カトリック教会	(43.0464222, 141.3418)
渡辺歯科医院	(43.0468422, 141.3396085)
天内獣医科病院	(43.0453786, 141.3435844)
サツドラ南11条店	(43.0448893, 141.3441973)
大宥寺	(43.0452233, 141.338937)
札幌市中央区 幌西まちづくりセンター	(43.0448967, 141.3361729)
広照院	(43.0455209, 141.3371239)
さっぽろ幌西クリニック	(43.0466667, 141.3348819)
サンデンタルクリニック	(43.0466248, 141.3359159)
村田歯科クリニック	(43.044797, 141.3354869)
札幌方面東警察署 北十二条東交番	(43.0785602, 141.3690679)
今井内科小児科医院	(43.0443606, 141.329733)
丸紅エネルギーガソリンランド11	(43.0443778, 141.3288645)
札幌中央消防署 幌西出張所	(43.0441527, 141.326979)
中橋内科クリニック	(43.0452039, 141.3245506)
土田内科・循環器科クリニック	(43.0441172, 141.3250399)
田代内科呼吸器科クリニック	(43.0453204, 141.3481483)
瑞正寺	(43.0419454, 141.3483875)
誓願寺	(43.0421481, 141.3463036)
エネオスEnejet 山鼻	(43.0433949, 141.3435832)
札幌YMCA英語・コミュニケーション専門学校	(43.0446458, 141.3427139)
さっぽろ石山通り歯科	(43.043703, 141.3430015)
南13条石山通珈琲	(43.0425612, 141.3430863)
トヨタレンタカー南13条石山通店	(43.0421673, 141.3431384)
めばえ幼稚園	(43.0434684, 141.3404535)
日本福音ルーテル札幌教会	(43.0434318, 141.3401123)
南11条眼科	(43.0445804, 141.3383154)
高岡レディースケアクリニック	(43.0445631, 141.3393357)
原歯科医院	(43.0433031, 141.3396678)
松田デンタルクリニック	(43.0449922, 141.3391419)
山鼻動物病院	(43.044514, 141.3368267)
リラ歯科医院	(43.0422732, 141.3365203)
ベントスグリーンベントス西線12条店	(43.0438425, 141.3363226)
ツルハドラッグ南14条店	(43.0405157, 141.3368929)
ツルハドラッグ琴似中央店	(43.0766367, 141.3034723)
西線医院	(43.0430906, 141.3359061)
すき家札幌山鼻店	(43.04156, 141.3360698)
サツドラ山鼻南14条店	(43.0406669, 141.3356745)
こうさい保育園	(43.0433117, 141.3341294)
幌西児童会館	(43.0404524, 141.3337741)
大心寺	(43.0439465, 141.3311704)
大光寺	(43.0428469, 141.332092)
札幌南十四条西郵便局	(43.0402433, 141.3308143)
心和病院	(43.0415833, 141.3292249)
アポロステーションAIX' セルフ伏見SS	(43.0428234, 141.3260349)
啓明眼科	(43.040248, 141.3283651)
札幌護国神社	(43.0407426, 141.3529813)
多賀神社	(43.0402369, 141.3541993)
北海道銀行 行啓通支店行啓通支店	(43.0411935, 141.351018)
布施歯科医院	(43.0407742, 141.3506042)
新井田医院	(43.039875, 141.3506138)
あんざい内科クリニック	(43.0380974, 141.3501498)
妙典寺	(43.0382477, 141.3496753)
行啓通り かこクリニック	(43.0410583, 141.3487638)
山鼻かしわ児童会館	(43.0399296, 141.3478953)
札幌中央信用組合山鼻支店	(43.0379708, 141.348649)
ツルハドラッグ行啓通店	(43.040729, 141.3462196)
ほっともっと行啓通り店	(43.040893, 141.3460072)
札幌いしやま病院	(43.0394303, 141.34418)
札幌いしやまクリニック	(43.0396093, 141.3440182)
札幌山鼻整形外科	(43.0397145, 141.3434576)
ちあき内科呼吸器科クリニック	(43.0396109, 141.3435788)
大庭歯科医院	(43.0392469, 141.3435236)
とんでん南16条店	(43.0381888, 141.3432572)
ツルハドラッグ南16条店	(43.0379493, 141.3432704)
アポロステーションセルフ札幌南SS	(43.037644, 141.3435296)
札幌ナザレン教会	(43.0382188, 141.3423404)
こひつじ幼稚園	(43.0382916, 141.3419851)
あべ歯科医院	(43.0385051, 141.3402888)
東本願寺 山鼻支院	(43.0376814, 141.3403529)
本田珈琲	(43.03818, 141.336998)
コスモ石油バードタウン西野	(43.0730038, 141.2674856)
北洋銀行西線支店	(43.0387064, 141.336407)
はせ小児科クリニック	(43.0395898, 141.3305468)
札幌ペンテコステ教会	(43.0394568, 141.3305982)
札幌方面南警察署 伏見交番	(43.0382201, 141.3301628)
松家内科小児科医院	(43.0376092, 141.3514612)
福田医院	(43.0370875, 141.351823)
山鼻東屯田通郵便局	(43.0358457, 141.3479098)
高須内科医院	(43.0353587, 141.3490902)
札幌いずみ幼稚園	(43.037408, 141.3465489)
石山通り動物病院	(43.0373156, 141.3443208)
みよしの山鼻店	(43.0355178, 141.3445324)
修学院札幌調理師専門学校	(43.0350785, 141.3450662)
かつや札幌石山通店	(43.0345134, 141.3447143)
ピザハット山鼻店	(43.0343239, 141.3451507)
山鼻華園保育園	(43.0360879, 141.3438588)
エネオスDr.Driveトップロード南19条SS	(43.0337996, 141.3438838)
回転寿司 和楽山鼻店	(43.0342786, 141.3435543)
伏見内科	(43.0339369, 141.3388271)
片岡歯科クリニック	(43.0345819, 141.3427792)
浄圓寺	(43.0342934, 141.3348749)
幌南こども歯科	(43.0329689, 141.3530605)
クリニック1・9・8札幌	(43.0342393, 141.3492367)
鈴木歯科医院	(43.0312479, 141.3492847)
品川デンタルクリニック	(43.0311821, 141.3485741)
土田病院	(43.0312546, 141.3475879)
ベントスベントス南20条店	(43.0319926, 141.344982)
太子寺	(43.0317367, 141.3456594)
ろいず珈琲館石山通店	(43.031318, 141.3450725)
CoCo壱番屋中央区石山通店	(43.0333332, 141.3440339)
北洋銀行石山通支店	(43.0319083, 141.3441793)
田村歯科クリニック	(43.0317214, 141.3444561)
牧口デンタルオフィス	(43.0310274, 141.3445408)
札幌南二十一条郵便局	(43.0308263, 141.3431097)
ヴィクトリアステーション山鼻店	(43.030728, 141.3416565)
中村歯科医院	(43.0313352, 141.3411779)
仏見寺	(43.0309406, 141.3408892)
